mwe_template	semantic_tags
komme_VERB til_ADP bevidsthed_NOUN	A10+
komme_VERB igennem_ADP	M8 T2-
komme_VERB til_ADP bevidsthed_NOUN	S5+ X9.2+
komme_VERB i_ADP tanke_NOUN	X9.2+
komme_VERB til_ADP sine_DET sanser_NOUN	X9.1-
komme_VERB til_ADP et_DET stop_NOUN	A1.1.1 M1%
komme_VERB til_ADP et_DET hoved_NOUN	A10+ A8+ M1 Q2.1 X9.2+
komme_VERB til_ADP en_DET ende_NOUN	X5.2+ A3+
komme_VERB til_ADP grips_NOUN	M1 A1.1.1
komme_VERB til_ADP live_NOUN	A1.1.1 B1 M1 A2.1+
komme_VERB til_ADP lys_NOUN	E3-
komme_VERB til_ADP enighed_NOUN med_ADP	M1 A1.1.2
komme_VERB til_ADP kogepunktet_NOUN	M1/N6+ X2.2+
komme_VERB til_ADP konklusionen_NOUN	M1
komme_VERB til_PART at_PART ske_VERB	O4.2+ A5.2+
komme_VERB under_ADP	N5-/A2.1 N5-/I1.3 M1
komme_VERB op_ADP	G2.1
leve_VERB op_ADP til_ADP standard_NOUN	A11.1+
fandt_VERB på_ADP	M1
nåede_VERB op_ADP til_ADP	M1
stødte_VERB på_ADP	M1 A1.5.2+ O4.2+ S1.1.3+ T2+
kamel_NOUN frakke_NOUN	A1.8+
kamel_NOUN rejse_NOUN	A6.1+/A2.1
cameo_NOUN broche_NOUN	A3+
cameo_NOUN ring_NOUN	T2+
trykklar_ADJ kopi_NOUN	A1.8+
kamera_NOUN vinkel_NOUN	X2.1
kamera_NOUN hold_NOUN	T2+
kamera_NOUN operatør_NOUN	A10- X9.2+ T2- M1
kamera_NOUN sky_ADJ	T2+ M1 S3.2
kamera_NOUN arbejde_NOUN	T2+
camping_NOUN gas_NOUN	M1 A10- A10+ A1.1.1 T2- S3.2/B1@
camping_NOUN {ADV} out_* {ADV} with_ADP	Q2.1
campingplads_NOUN {ADV} out_ADP of_ADP *_PRON	S1.2.3+/A2.1
campingvogn_NOUN {ADV} over_*	M1 A1.1.1 A8+ A2.1+
feltseng_NOUN {ADV} right_ADV	A5.1+/A2.1
campingstol_NOUN {ADV} round_*	M1 B1 A1.1.1 A2.1+
lejr_NOUN tilhænger_NOUN	X9.2+ M1 A11.2+ Q1.3
campingplads_NOUN {ADV} to_*	A4.1 M1 B1 N5 X6+ X2.1
campingstol_NOUN {ADV} to_* {PRON/Np} mind_*	X2.1
campingkomfur_NOUN {ADV} to_ADP *_DET {ADJ/INTJ} senses_NOUN	S1.2.6+/A2.1
kampagneudvalg_NOUN {ADV} to_ADP a_DET {ADJ/INTJ} halt_NOUN	T2- M8
kampagnespor_NOUN {ADV} to_ADP a_DET {ADJ/INTJ} head_NOUN	A1.1.1/N5.1+
kampagnemedarbejder_NOUN {ADV} to_ADP an_DET end_NOUN	T2-
campingvogn_NOUN {ADV} to_ADP grips_NOUN	X2.5+
campingkomfur_NOUN {ADV} to_ADP life_NOUN	A1.1.1/A2.1 A5.4+/A8
ormekrukke_NOUN {ADV} to_ADP light_NOUN	A10+
kan_AUX hjælpe_VERB	X2.5+
kan_AUX udholde_VERB	O4.6+ E3-
kan_AUX gide_VERB	X6+
kan_AUX vente_VERB	A1.1.1
kan_AUX ikke_PART håndtere_VERB	A1.8+ A4.1 S7.1-
kan_AUX ikke_PART undgås_VERB	A1.1.1 M1 P1%
dåse_NOUN af_ADP	A5.1+
dåseåbner_NOUN {ADV} up_* {ADV} with_ADP	X2.1 A9+
kan_AUX ikke_PART håndtere_VERB	M1 N5 T1
kan_AUX ikke_PART skelne_VERB	S7.3+ M1
kanalbåd_NOUN coat*_NOUN	B5
kanariegul_ADJ trek*_NOUN	M1/L2
ophæve_VERB hinanden_PRON	B5
afbestillingsgebyr_NOUN ring*_NOUN	B5
kræftcelle_NOUN copy_NOUN	C1
kræftpatient_NOUN angle*_NOUN	Q4.3
kræftforskning_NOUN crew*_NOUN	Q4.3/S5+
kræftspecialist_NOUN operator*_NOUN	Q4.3/S2mf
kræftpind_NOUN shy_ADJ	S1.2.3-/C1
kræftenhed_NOUN work_NOUN	C1 Q4.3
camp*_* lysestage_NOUN	O1.3
middag_NOUN med_ADP stearinlys_NOUN	K1/H4
middag_NOUN med_ADP stearinlys_NOUN	H4/M7
lysestage_NOUN van*_NOUN	H4/M3
slikbar_NOUN bed*_NOUN	H5
candyfloss_NOUN chair*_NOUN	H5/K1
slikbutik_NOUN follower*_NOUN	G3/S2mf
rørstol_NOUN site*_NOUN	M7/H4c
cannabis_NOUN harpiks_NOUN	H5/K1
konserves_NOUN stove*_NOUN	O4.6+
kanonføde_NOUN committee*_NOUN	G1.2/S5+c
kanonisk_ADJ ret_NOUN	G1.2
kantinemåltid_NOUN worker*_NOUN	G1.2/S2mf
kantinestab_NOUN van*_NOUN	M3fn
lærredsstol_NOUN stove*_NOUN	O2/F1
can*_NOUN lærredssko_NOUN worms_NOUN	A12-
tilføje_VERB til_ADP	S7.1-
hatten_NOUN i_ADP hånden_NOUN	E2-
kapacitetsmængde_NOUN *_PART {ADV} be_VERB {ADV/ADJ/INTJ} bothered_*	X5.2-
capellini_NOUN pasta_NOUN	X5.2+
kapersbær_NOUN n't_PART {ADJ/INTJ} be_VERB {ADJ/INTJ} doing_VERB with_ADP	X5.2-
hovedstæder_NOUN not_PART {ADV} be_VERB helped_VERB	S6+
hovedstad_NOUN of_ADP *_NOUN	F2
stort_ADJ bogstav_NOUN	O2
dødsstraf_NOUN n't_PART {ADV/ADJ/INTJ} do_VERB with_ADP	E2-
kapitalforbrydelse_NOUN boat*_NOUN	M4fn
dødsstraf_NOUN yellow_ADJ	O4.3
cancel*_* udnytte_VERB other_PRON out_ADV	A2.1-
industrikaptajn_NOUN fee_NOUN	T2-/I1.3
kaptajns_NOUN certifikat_NOUN	B2-/B1
bil_NOUN ulykke_NOUN	B2-/S2mf
bil_NOUN alarm_NOUN	Y1/B3
bil_NOUN alarm_NOUN immobiliser_NOUN	B3/S2mf
bil_NOUN bombe_NOUN	F3
bil_NOUN bagagerum_NOUN	B3c
bagagerum_NOUN salg_NOUN	O2
bil_NOUN jagt_NOUN	F1/S3.2
bil_NOUN ulykke_NOUN	F1/S3.2
bil_NOUN motor_NOUN	O2
bil_NOUN færger_NOUN	F1
bil_NOUN færge_NOUN	F1
bil_NOUN forsikring_NOUN	F1/I2.2/H1
køre_NOUN kort_NOUN	H5
parkerings_NOUN plads_NOUN	F3
bil_NOUN parkering_NOUN	F1/O2
bil_NOUN telefon_NOUN	G3/S2mf S7.1-
carport_NOUN law_NOUN	S9/S7.1+
bil_NOUN radio_NOUN	F1
bil_NOUN udlejning_NOUN	F1/S2c
biltur_NOUN chair*_NOUN	H5
bilservice_NOUN shoes_NOUN	B5
cap*_* bilkvalme_NOUN to_ADP	X2.5+
bilkvalme_NOUN in_ADP hand_NOUN	S7.1-
bilstereo_NOUN crowd*_NOUN	N5.1+/S5+
biltyveri_NOUN berr*_NOUN	F1 F2
bilvask_NOUN cities_NOUN	M7/G1.1
karamel_NOUN city_NOUN	M7/G1.1
campingplads_NOUN letter*_NOUN	Q1.2
campingplads_NOUN punishment_NOUN	G2.1
papkasse_NOUN burns_NOUN syndrome_NOUN	B2-
karbonkopi_NOUN offense*_NOUN	G2.1-
karbonkopi_NOUN punishment_NOUN	G2.1/L1-
capitalis*_* kulstofdatering_NOUN	S8+ I1.1
captain*_NOUN kuldioxid_NOUN industry_NOUN	I4/S2mf
karbonpapir_NOUN 's_PART certificate*_NOUN	M4/Q1.2
karbonbånd_NOUN accident*_NOUN	M3/A1.4
kulilte_NOUN alarm*_NOUN	M3/O3/A15+
kortspil_NOUN alarm_NOUN immobiliser*_NOUN	M3/O3/A15+
kort_NOUN butik_NOUN	G3
kort_NOUN indeks_NOUN	M3 I2.2
kort_NOUN bord_NOUN	I2.2
kort_NOUN trick_NOUN	M3/M1
pap_NOUN by_NOUN	M3/A1.4
pap_NOUN figur_NOUN	M3
pap_NOUN kasse_NOUN	M4fn
kardiovaskulær_ADJ ferry_NOUN	M4fn
hjertestop_NOUN insurance_NOUN	M3/I1/A15-
kardinaltal_NOUN licence_NOUN	M3/Q1.2
kardinalpunkt_NOUN park*_NOUN	M3/M7
dødssynd_NOUN parking_NOUN	M3
kardiothorakal_ADJ phone*_NOUN	Q1.3
plejehjem_NOUN radio*_NOUN	Q4.3/M3
ligeglad_ADJ rental*_NOUN	I2.2/M3
hjælpelinje_NOUN ride*_NOUN	M3
plejeordre_NOUN service*_NOUN	M3
plejesælger_NOUN sick_ADJ	B2-/M3
pårørende_NOUN sickness_NOUN	B2-/M3
omsorgsarbejder_NOUN stereo*_NOUN	K3/M3
karriereudviklingslån_NOUN stone*_NOUN	M3
karrierestige_NOUN theft*_NOUN	G2.1-/M3
karriereskift_NOUN wash_NOUN	M3/B4
karrieremulighed_NOUN *_NOUN	F1
karriereperson_NOUN park*_NOUN	M7/H4c
karriereudsigter_NOUN site*_NOUN	H4/M7c
karrieremæssigt_ADV box*_NOUN	O2
karriererådgiver_NOUN copies_NOUN	Q1.2
karrierecenter_NOUN copy_NOUN	Q1.2
karrierevejledning_NOUN dating_NOUN	N3.1/T3+
karrierebibliotek_NOUN dioxide_NOUN	O1.3
karrieremester_NOUN paper_NOUN	Q1.2
karrierekontor_NOUN ribbon_NOUN	Q1.2/O2
karriereofficer_NOUN {ADJ/INTJ} monoxide_NOUN	O1.3
karriereservice_NOUN game*_NOUN	K5.2
karrierelærer_NOUN greeting_NOUN shop*_NOUN	I2.2/Q1.2c
midlertidig_ADJ manager_NOUN	A4.1
fragtbåd_NOUN table*_NOUN	K5.2/H5
fragtfly_NOUN trick*_NOUN	K1
omsorgsprofession_NOUN cit*_NOUN	I1.1-/M7
karnevalsdronning_NOUN cut-out*_NOUN	O4.4
julegudstjeneste_NOUN box*_NOUN	O2
julesanger_NOUN vascular_ADJ	B1
karpaltunnel_NOUN arrest*_NOUN	B2-
karpaltunnelsyndrom_NOUN number*_NOUN	N1
tæppetaske_NOUN point*_NOUN	W3
tæppebombning_NOUN sin_NOUN	G2.2- A5.1--
tæppelægger_NOUN thoracic_ADJ	B1
hjemmesko_NOUN assistant*_NOUN	S8+/S2mf
tæppeflise_NOUN home*_NOUN	H1/S8+c
tage_VERB skylden_NOUN	X5.2-
rejseur_NOUN line*_NOUN	S8+/Q1.3
have_VERB indflydelse_NOUN	G2.1/S1.1.1
fortsætte_VERB salesm*n_NOUN	M3/S2.2m
rive_VERB med_ADV	S8+/S2mf
fortsætte_VERB worker*_NOUN	S8+/S2mf
udføre_VERB development_NOUN loan*_NOUN	I1/I3.1
fortsætte_VERB ladder_NOUN	I3.1
overføre_VERB move*_NOUN	I3.1/A1.1.1 I3.1/S8+
fuldføre_VERB opportunit*_NOUN	I3.1
bærepose_NOUN person*_NOUN	I3.1/S2mf
brevdue_NOUN prospect*_NOUN	I3.1/X2.6+
fortsætte_VERB wise_*	I3.1
udføre_VERB advisor*_NOUN	I3.1/S8+/S2mf
tage_VERB skylden_NOUN	I3.1/H1c
fortsætte_VERB guidance_NOUN	I3.1/S8+
have_VERB indflydelse_NOUN	I3.1/Q4.1c
fortsætte_VERB master*_NOUN	I3.1/P1m
fortsætte_VERB office*_NOUN	I3.1/H1c
udføre_VERB officer*_NOUN	I3.1/S2mf
overføre_VERB service_NOUN	I3.1/S8+
fuldføre_VERB teacher*_NOUN	I3.1/P1/S2mf
fjerne_VERB manager*_NOUN	K5.1/S7.1+/S2,f
fuld_ADJ frihed_NOUN	M4
etablere_VERB plane*_NOUN	M5
skabe_VERB profession*_NOUN	I3.1/S8+
opdele_VERB queen_NOUN	K1/S2.1f
udskæringskniv_NOUN service*_NOUN	S9
opdele_VERB singer*_NOUN	K2/S2mf
udskæringskniv_NOUN tunnel_NOUN	B1
udskæringsknive_NOUN tunnel_NOUN syndrome_NOUN	B2-
eksempel_NOUN bag*_NOUN	B5
sagsmappe_NOUN bombing*_NOUN	G3
kasusgrammatik_NOUN fitter*_NOUN	H5/S2mf
sagshistorie_NOUN slippers_NOUN	B5
præcedens_NOUN tile*_NOUN	H5
carri*_VERB case-studier_NOUN {ADJ/INTJ} can_NOUN	A2.2/G2.1
case-studie_NOUN clock*_NOUN	T1/O2
carrie*_VERB {DET} indkassere_VERB	S7.1+
carrie*_VERB {PRON/ADV/Np} afregne_VERB	T2++
cash_NOUN and_CCONJ carry_VERB	X5.2++ M2
pengestrøm_NOUN {PRON/ADV/Np} on_*	T2++ E3- M2 A1.1.1
kontantkonto_NOUN {PRON/ADV/Np} out_*	A1.1.1 M2
kontantforskud_NOUN {ADV} on_ADV and_CCONJ on_ADV	T2++ E3- M2 A1.1.1
kontantbonus_NOUN {PRON/ADV/Np} over_ADV	M2 N2 T2++
pengekasse_NOUN {PRON/ADV/Np} through_ADV	M2 T2++ S8+
kontantkort_NOUN bag*_NOUN	O2
kontantunderskud_NOUN pigeon*_NOUN	L2
kontantrabat_NOUN {PRON/ADV/Np} on_*	T2++ E3- M2 A1.1.1
kontantdispenser_NOUN {PRON/ADV/Np} out_ADV	A1.1.1 M2
kontanter_NOUN i_ADP hånden_NOUN	A2.2/G2.1
carry*_* {ADV} hæveautomat_NOUN and_CCONJ on_ADV	T2++ E3- M2 A1.1.1
carry*_* {DET} kontanttilbud_NOUN	S7.1+
carry*_* {PRON/ADV/ADJ/Np} kontantbetaling_NOUN	T2++ E3- M2 A1.1.1
carry*_* {PRON/ADV/Np} hævepunkt_NOUN	T2++
carry*_* {PRON/ADV/Np} kontantpræmie_NOUN	A1.1.1 M2 F1@
carry*_* {PRON/ADV/Np} kontantkvittering_NOUN	M2 N2 T2++
carry*_* {PRON/ADV/Np} kontantreduktion_NOUN	M2 T2++ S8+
cart*_* {PRON/ADV/Np} kasseapparat_NOUN	M2
kontantreserve_NOUN blanche_NOUN	A1.7-
carv*_* kassetill_NOUN niche_NOUN out_ADV	I3.1
carv*_* {PRON/ADV/Np} kontanthævning_NOUN	A1.1.1
carve*_VERB {PRON/ADV/Np} kassettebåndoptager_NOUN	S1.1.2+ A1.1.1 E3-
kassetteafspiller_NOUN knife_NOUN	O2
kassetteoptager_NOUN {PRON/ADV/Np} up_ADV	S1.1.2+ A1.1.1 E3-
kassettebånd_NOUN knife_NOUN	O2/F1
kassiabark_NOUN knives_NOUN	O2/F1
kaste_VERB et_DET blik_NOUN over_ADP	A4.1
tænke_VERB tilbage_ADV	I3.1/Q1.2
kaste_VERB et_DET blik_NOUN	Q3
kaste_VERB skygger_NOUN	Q2.1/A4.2+
kaste_VERB et_DET blik_NOUN	G2.1
støbejern_NOUN studies_NOUN	A4.1
fintsukker_NOUN study_NOUN	A4.1
casting_NOUN direktør_NOUN	I2.2 I1.1
afgørende_ADJ stemme_NOUN	I1
casting_NOUN sofa_NOUN	I2.2
ricinusolie_NOUN flow_*	I1.1
ricinusplante_NOUN account*_NOUN	I1.1
fintsukker_NOUN advance_NOUN	I1/A9-
akutmodtagelse_NOUN bonus*_NOUN	I1
kattekurv_NOUN box*_NOUN	I1/O2
katteindbrudstyv_NOUN card*_NOUN	O2/I1
kattelem_NOUN deficit*_NOUN	I1.2
kattemad_NOUN discount*_NOUN	I1.3-
kattegrus_NOUN dispenser*_NOUN	I1/Y2
kattenap_NOUN in_ADP hand_NOUN	I1.1
katteurt_NOUN machine*_NOUN	I1/O3
katteinternat_NOUN offer*_NOUN	I1.3-
kat_NOUN sidder_VERB	I1.2
katalytisk_ADJ konverter_NOUN	I1/Y2
fange_VERB opmærksomheden_NOUN	I1/A9-
fange_VERB øjet_NOUN	I1/Q1.2 I1/A9+
fange_VERB en_DET forkølelse_NOUN	I1/N5-/A2.1
forstå_VERB register*_NOUN	I1/O3
begynde_VERB at_PART brænde_VERB	I1.1 I1.1/G1.1
gribe_VERB fat_NOUN i_ADP	I1/O2
forstå_VERB withdrawal*_NOUN	I1/A9+
fange_VERB øjet_NOUN	K3
afsløre_VERB player*_NOUN	K3
indhente_VERB recorder*_NOUN	K3
fange_VERB opmærksomheden_NOUN	K3
fange_VERB øjet_NOUN	F1 O1.1
fangende_ADJ melodi_NOUN	X3.4
cast*_* *_DET catch-22_NOUN {ADV} back_*	X2.2+
cast*_* a*_DET {ADJ/INTJ} catch-22_NOUN through_*	X3.4
brug_VERB hvad_PRON du_PRON kan_AUX	Q2.2
fangende_ADJ frase_NOUN	X3.4
opland_NOUN iron_NOUN	O1.1
cateringudstyr_NOUN sugar_NOUN	F1
cateringordning_NOUN director*_NOUN	K4/S2mf
cateringfirma_NOUN vote*_NOUN	G1.2
cateringindustri_NOUN couch_NOUN	K4/X7+ S3.2
cateringbranche_NOUN oil_NOUN	O1.2
katedral_NOUN oil_NOUN plant*_NOUN	L2
katedralby_NOUN sugar_NOUN	F1
katherinhjul_NOUN ward*_NOUN	B3/H2c
kreaturboks_NOUN basket*_NOUN	L2/O2
kvægavler_NOUN burglar*_NOUN	G2.1-/S2mf
kvægavl_NOUN flap*_NOUN	L2/H5
kvægrist_NOUN food_NOUN	F1/L2
kvægmarked_NOUN litter_NOUN	B4/L2
kvægstald_NOUN nap*_*	B1
kvægshow_NOUN nip_NOUN	O1/L2
kvæglastbil_NOUN shelter*_NOUN	L2/H1c
fange_VERB opmærksomhed_NOUN	L2/S8+
fange_VERB øje_NOUN	M3/O2
blive_VERB forkølet_ADJ	A11.2+
fange_VERB øjne_NOUN	A11.2+
catch*_* indblandet_ADJ {ADJ/INTJ} cold_NOUN	X9.2-
catch*_* forstå_VERB	X2.5+
catch*_* {ADJ/INTJ} brænde_VERB	O4.6+
catch*_* {ADV/ADJ} populær_ADJ of_ADP	A9+
catch*_* {ADV} vanskelig_ADJ	E2+/A2.1 X2.5+
catch*_* {DET/Np} eye*_NOUN blomkålsgratin_NOUN	A11.2+
catch*_* {PRON/ADV/Np} blomkålsøre_NOUN	G2.2- K5.1
årsag_NOUN og_CCONJ virkning_NOUN	T1.1.2 S7.3 N4
catch*_* {PRON/Np} kollapse_VERB	A11.2+
catch*_VERB huleboer_NOUN eye_NOUN	A11.2+
hulemaleri_NOUN tune*_NOUN	K2
hulmur_NOUN twenty-two_NUM	X9.2-
hulmursisolering_NOUN twenty_NUM two_NUM	X9.2-
våbenhvile_NOUN as_ADP catch_VERB can_AUX	A1.4
prisloft_NOUN phrase*_NOUN	Q3
cellebiologi_NOUN area*_NOUN	M7
kælder_NOUN equipment_NOUN	O2/F1
mobiltelefon_NOUN scheme*_NOUN	F1
mobiltelefon_NOUN compan*_NOUN	F1/I2.1/S5+
fastgøre_VERB industr*_NOUN	F1/I4
cementblander_NOUN trade_NOUN	F1/I2.1
centralvarme_NOUN church*_NOUN	S9/H1
centralregering_NOUN cit*_NOUN	S9/M7
centralvarme_NOUN wheel*_NOUN	G3/K1
centrallås_NOUN box*_NOUN	M3/L2
centralnervesystemet_NOUN breeder*_NOUN	F4/S2mf
midterrabat_NOUN breeding_NOUN	F4
central_ADJ supportenhed_NOUN	F4/O2
centralt_ADV opvarmet_ADJ	F4/I2.2
tyngdepunkt_NOUN shed*_NOUN	F4/H1
centerforward_NOUN show*_NOUN	L2/A10+
center_NOUN court_NOUN	F4/M3
drejebænk_NOUN operatør_NOUN	A11.2+
midtpunkt_NOUN *_DET eye_NOUN	A11.2+
midterstykke_NOUN a_DET {ADJ/INTJ} cold_NOUN	X9.2-
midterside_NOUN {DET/Np} eyes_NOUN	A11.2+
center_NOUN stage_NOUN	T1.1.2 S7.3 N4 S1.1.3+ A1.7+
halvandet_DET århundrede_NOUN	X2.5+
cerebral_ADJ parese_NOUN	O4.6+
certificeret_ADJ revisor_NOUN	E2+/A2.1 X2.5+
livmoderhalskræft_NOUN {PRON/ADV/Np} out_ADV	G2.2- K5.1
livmoderhalsprøve_NOUN cheese_NOUN	F1
cha-cha_NOUN ear*_NOUN	O4.2 O4.1
kommandovej_NOUN and_CCONJ effect_NOUN	A2.2
kædegang_NOUN dweller*_NOUN	T1.1.1/S2mf
kædebrev_NOUN painting*_NOUN	C1/T3+
kædereaktion_NOUN wall*_NOUN	H2
kæderyger_NOUN wall_NOUN insulation_NOUN	H2/O2
kædebutik_NOUN fire*_NOUN	E3+
stolelift_NOUN price*_NOUN	I1.3/A1.7+
formand_NOUN biology_NOUN	Y1
chaiselong_NOUN phone*_NOUN	Q1.3
chalet_NOUN bungalow_NOUN	Q1.3
opnå_VERB heated_*	O4.6+/H2
kridt_NOUN og_CCONJ ost_NOUN	G1.1
stuepige_NOUN heating_NOUN	O4.6+/H2
kammermusik_NOUN locking_NOUN	O2/M3
natpotte_NOUN nervous_ADJ system_NOUN	B1
ivrig_ADJ efter_ADP at_PART komme_VERB i_ADP gang_NOUN	M7
champagnemorgenmad_NOUN support_NOUN unit*_NOUN	S8+/S5+c
champagneglas_NOUN heated_*	O4.6+/H2
ivrig_ADJ efter_ADP at_PART komme_VERB i_ADP gang_NOUN	X4.1 O4.1
det_PRON er_VERB sandsynligt_ADJ	K5.1/S2mf
ændre_VERB mening_NOUN	K5.1/M7
skifte_VERB hænder_NOUN	I4/S2mf
flytte_VERB hus_NOUN	A11.1+
ændre_VERB tilgang_NOUN	O2
ændre_VERB retning_NOUN	Q4.2/C1
ændre_VERB mening_NOUN	K4/M7 A11.1+
omarrangere_VERB and_CCONJ a_DET half_NOUN	T1.3
skifte_VERB over_ADV	B2-
ændre_VERB sig_PRON uigenkendeligt_ADV	I2.1/S2mf
ændring_NOUN for_ADP ændringens_NOUN skyld_NOUN	B2-
omklædningskabine_NOUN smear*_NOUN	B3
omklædningsrum_NOUN cha_NOUN	K1
ændre_VERB sig_PRON uigenkendeligt_ADV	S7.1+
kaosteori_NOUN boy*_NOUN	A1.1.1/S2mf
kapel_NOUN gang*_NOUN	G2.1/S5+ A1.7+/S5+
karakterskuespiller_NOUN letter*_NOUN	Q1.2/N4
karakterskuespillerinde_NOUN reaction*_NOUN	O1/A2.2 A1.1.1/A2.2
karakterdrab_NOUN smoker*_NOUN	F3/N6+/S2mf
karakterrolle_NOUN store*_NOUN	I2.2/H1
karakterreference_NOUN lift*_NOUN	M3
kultegning_NOUN person*_NOUN	S7.1+/S2mf
oplade_VERB side_NOUN	H5
storme_VERB ind_ADV	H5
formand_NOUN bungalow*_NOUN	H1
afdelingssygeplejerske_NOUN girl*_NOUN	H4/S2.1f
ladning-til-masse-forhold_NOUN maid*_NOUN	H4/S2.1f
storme_VERB ind_ADV	A9+ I1.3 A2.2
genbrugsbutik_NOUN and_CCONJ cheese_NOUN	A6.1-
velgørenhedsarbejde_NOUN maid*_NOUN	H4/S2.1f
charmearmbånd_NOUN music_NOUN	K2
hitmusik_NOUN pot_NOUN	B4
champ*_VERB hitliste-topper_NOUN the_DET bit_NOUN	X5.2+
charterflyvning_NOUN breakfast_NOUN	F1
charterfly_NOUN glass*_NOUN	O2
certificeret_ADJ ingeniør_NOUN	X5.2+
certificeret_ADJ landmåler_NOUN	A7+
certificeret_ADJ revisor_NOUN	X2.1/A2.1+
jage_VERB sin_PRON egen_ADJ hale_NOUN	A9
jage_VERB rundt_ADV	H4/A2.1+
rykke_VERB for_ADP noget_PRON	A2.1+
jage_VERB nogen_PRON ud_ADV	A2.1+
jage_VERB sin_PRON egen_ADJ hale_NOUN	A2.1/X7+
jage_VERB rundt_ADV	A2.1+
stelnummer_NOUN for_ADP change_NOUN 's_PART sake_NOUN	A2.1+/S6-
snakke_VERB løs_ADV	H2/B5
flirte_VERB room*_NOUN	H2/B5
scorereplik_NOUN {PRON/ADV/Np} out_ADP of_ADP all_DET {ADJ/INTJ} recognition_NOUN	A2.1+
talkshow_NOUN theory_NOUN	Y1
chapel*_NOUN chatlinje_NOUN rest_NOUN	L1-/H2
talkshow_NOUN actor*_NOUN	K4/S2mf
talkshowvært_NOUN actress*_NOUN	K4/S2.1f
chatshow_NOUN værtinde_NOUN	E2- G2.2-
scorereplik_NOUN part*_NOUN	K4 Q4.3
chatrum_NOUN reference*_NOUN	A5.1/Q1.2
chaufførkørt_ADJ drawing*_NOUN	C1
billig_ADJ og_CCONJ munter_ADJ	M1
billig_ADJ udseende_NOUN	M1
billigt_ADJ skud_NOUN	S7.1+/S2mf
check-in_NOUN nurse*_NOUN	B3/S2mf
check_VERB off_ADV	Y1
check-out_NOUN {ADV} in_ADV	M1
check_VERB up_ADV	S8+/I2.2/H1 I1.3-/I2.2/H1
tjekliste_NOUN work_NOUN	S8+
check-out_NOUN tid_NOUN	B5
cheer_VERB up_ADV	K2
cheer_VERB on_ADV	X9.2+/S2mf
ost_NOUN og_CCONJ løg_NOUN tærte_NOUN	M5
ostekage_NOUN plane*_NOUN	M5
oste_NOUN ret_NOUN	Y1/S2mf
oste_NOUN rivejern_NOUN	H1/S2mf
irriteret_ADJ {ADJ/INTJ} accountant*_NOUN	I1.1/S2mf
chef_NOUN de_ADP partie_NOUN	X9.2-
chef_NOUN de_ADP partie_NOUN	M1
kemisk_ADJ ingeniør_NOUN	X2.4 Q2.2
chase*_VERB {PRON/ADV/Np} kemiteknik_NOUN	M1
kemisk_ADJ patolog_NOUN	X9.2-
kemisk_ADJ patologi_NOUN	M1
kemisk_ADJ krigsførelse_NOUN	X2.4 Q2.2
kemisk_ADJ våben_NOUN	M1
kemisk_ADJ våben_NOUN	M3/N1
kemiske_ADJ distributionsselskaber_NOUN	Q2.1
kemisk_ADJ distributionsselskab_NOUN	Q2.2 S3.2/Q2.2
kemisk_ADJ fabrik_NOUN	Q2.2/S3.2
kemisæt_NOUN show*_NOUN	Q4.3
checkhæfte_NOUN line*_NOUN	Q1.3
checkkort_NOUN show*_NOUN	Q4.3
kirsebær_NOUN brandy_NOUN	Q4.3/S2mf
Cherry_NOUN Coke_NOUN	Q4.3/S2.1f
kirsebærrød_NOUN up_ADV line*_NOUN	S3.2/Q2.2
kirsebærscone_NOUN room*_NOUN	Y2
skakspiller_NOUN driven_VERB	M3
skaksæt_NOUN and_CCONJ cheerful_ADJ	I1.3-
skakturnering_NOUN looking_*	I1.3-/A8
kommode_NOUN shot*_NOUN	G2.2-/Q2.2
bryst_NOUN røntgen_NOUN	S1.1.1 Q2.2
check*_* {PRON/ADV/Np} brystforkølelse_NOUN	X2.4
check*_* {PRON/ADV/Np} brystudvider_NOUN	X2.4 I2.2 A5.2+
check*_* {PRON/Np} kummefryser_NOUN	X2.4 B3
brystplade_NOUN list*_NOUN	Q1.2
bryststørrelse_NOUN time*_NOUN	M5/T1
cheer*_* {PRON/ADV/Np} brystspecialist_NOUN	E4.1+
tygge_VERB nogens_PRON ører_NOUN af_ADV	Q2.2
tygge_VERB op_ADV	F1
tyggegummi_NOUN cake*_NOUN	F1
hønen_NOUN og_CCONJ ægget_NOUN	F1
hønsefoder_NOUN grater*_NOUN	F1/O2
hønsehus_NOUN off_*	E4.2-
chef*_* kyllingelår_NOUN partie_*	F1/S2mf
skoldkopper_NOUN de_* partie_*	F1/S2mf
hønsegård_NOUN engineer*_NOUN	Y1/S2mf
hønsetråd_NOUN engineering_NOUN	Y1
politiinspektør_NOUN pathologist*_NOUN	B3/S2mf
politidirektør_NOUN pathology_NOUN	B3
politikommissær_NOUN warfare_NOUN	Y1/G3
højesteretspræsident_NOUN weapon*_NOUN	Y1/G3
politiinspektør_NOUN weapon_NOUN	Y1/G3
administrerende_ADJ direktør_NOUN	Y1/I2.1c
børnemishandling_NOUN plant*_NOUN	O1/I4c
børnemishandler_NOUN set*_NOUN	Y1/K6
børnepenge_NOUN book*_NOUN	I1/Q1.2
børnepasning_NOUN card*_NOUN	O2/I1
børns_NOUN udvikling_NOUN	F2
børnearbejde_NOUN coke_NOUN	F2
børnearbejde_NOUN red_NOUN	O4.3
barnepige_NOUN scone*_NOUN	F1
